stim,url,study_list
ashtray_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eW1BRoUDV4BKQMl,A
bell_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5zKTGwHlwlzpssB,A
blouse_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_55SVfoQudZJNCFT,A
boot_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bOORR1zuKYSnAe9,A
bottle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6RrOQfDZim81pHv,A
bread_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1F97ouH0HrwQOgZ,A
candle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ymHdrUU3moCWyN,A
chair_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2rtsa6TCY4evHzn,A
duck_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ZWb29Mt3asBqQd,A
flute_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0xDaMU8znlexNCR,A
foot_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_afMBw3jKfS2ITFr,A
gorilla_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2u8SIHwnd27PRit,A
hand_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oBfulNJ1NWrkJ7,A
horse_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eX17szKpX1gpxAh,A
house_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cH1uoLfgvpe0RKJ,A
ladder_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_735TjkgjDyXdJf7,A
leaf_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8q8pX5H0Nx6yd01,A
monkey_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3miuP0E7swI0UHr,A
nail_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0OPN3pmmpa09VRP,A
orange_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9sFXA0O2m5o12lL,A
peacock_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8D4emFTg6bxSWtT,A
pear_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4UsMFBYwOMSE3oF,A
rooster_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3scVNClmn6feWC9,A
shirt_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6fXvKi2I0Dmw1JX,A
skunk_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7QhOyTdA1MjKmX3,A
socks_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8eMvvNHEh1CAqk5,A
thimble_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e3u9ZmoNISb0vfn,A
thumb_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0GGMTD82C00GJIp,A
whistle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bCm2tmqa2BSmhAp,A
zebra_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5oHDTXZMbEUpAYl,A
apple_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3rRa4iXzLVJlhcN,B
belt_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Gb3LiIRVJ06PNb,B
bicycle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cu5gQrYASF3YVtb,B
cake_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d7mVv0k44M6Xurr,B
carrot_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eRjZ1qbEFsgPOQt,B
celery_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_781UEeXOWeYdaXr,B
cloud_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9NqFnrdpnMnhQb3,B
crown_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eJQlp2ozlDdj7il,B
donkey_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bKiLqtzBgzjCl93,B
door_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8v4wAjhkkFlDguF,B
dresser_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8oJPLrlDYhZtJf7,B
flower_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3D9ysg2r6o66qW1,B
glasses_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4GvgcJ8Fltsw72J,B
goat_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ah4PRSfg9JtCMrr,B
hammer_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dcELsm5fJboYnSR,B
heart_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8B1ohBvS6kZmdOR,B
iron_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bHhuoEPnObfKut7,B
lock_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1TVSM8xi6gw7NLT,B
moon_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3JEwy7Da8Imucap,B
nose_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0k9kWsUqxzw9oDX,B
pencil_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b4rhFhKqoTacZKJ,B
penguin_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_292JZG9SQ7rW3zv,B
piano_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b2A6MdKIAoAq0pD,B
pipe_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9zZJbsRIuBbJclT,B
ring_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_brTv1NVPzJQNt3v,B
spider_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_25Fb3KGsGXs8dEx,B
star_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cvZsiamJ85Qqjcx,B
train_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_51JFsLFjJ410R6d,B
watch_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a5k4TpunAxUft3f,B
window_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5ax7XRW47aNHyol,B
arrow_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5p3gX3CcKIRU405,C
balloon_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3sXSQPo4wIhFJ2J,C
basket_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eXQGYvXHf1gHLxz,C
beetle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_08T2iPW2TKZksct,C
bowl_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_835qayAMc7V7n7v,C
camel_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9yr0u56ita4wHMp,C
chicken_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ny3fj0RnqZoXaZ,C
clown_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_868DgStDL1xgpeJ,C
comb_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bjW7ldQkpmNZECF,C
corn_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e8vQy2YJGBhNqm1,C
doll_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZMC8xe61Q66gip,C
dress_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6hVCZSYzng4vr6Z,C
fence_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3lWYR68Z8d9309v,C
guitar_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7VOMglLrJ63UcRL,C
jacket_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oefUoOPoYgqJA9,C
kettle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aXdtRSIroLuW6sl,C
knife_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9TvdqePslgQTa2V,C
lion_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eXS9q0oml5wpthX,C
lobster_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6QKmopqg8M29v5r,C
mitten_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Lo0nMh948bHAOx,C
needle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_86roluYnT4ksj9b,C
ostrich_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2fXbNlPTHYgjktD,C
peach_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4ZrURFixwoSamnH,C
potato_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0BxMsI90bji6bhb,C
pumpkin_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dp4SZ2TIpVrpHNj,C
rabbit_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1XGsiRDbYAT3oc5,C
ruler_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5C6VHlwRERmCBkF,C
screw_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3WvasL8QGDnQt37,C
sheep_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8pPi7Y3zVtHC0Fn,C
shoe_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8APggkejguS4Z6Z,C
anchor_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_db6h2UAOxZIJmuh,D
ball_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6DL1EpN4ckLzaK1,D
banana_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4PcgpRCjpoEzb1j,D
bear_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bOYQSqHBwC2srC5,D
book_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1FSpJg4ghNMhATH,D
broom_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6ysl6OfmDi7kzAh,D
button_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4NI2HtmSQ5CRDc9,D
cannon_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5swU7IAHxdKKzeB,D
chain_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2rjkLBySr0IPDpj,D
cherry_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2gEbHB1xK7TgdGR,D
drum_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8jPMH7CBzTZvVHv,D
eagle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1U2OU9AxNmMhRm5,D
finger_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_726e5KjOm7gMEZv,D
fish_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3Ia95Pt6i1mngKV,D
giraffe_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_38j8QkIRKbVIuCF,D
grapes_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eFjFdStONa6erdz,D
kite_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eEfqlaBeSa0jgYR,D
lamp_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cZmUgZbM3rqNGTP,D
lips_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ahjQGTaSRnPQhmt,D
mouse_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3dR0UJy1WLIOmNv,D
peanut_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dcMj3gzc3zK5z49,D
pliers_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9ABRUxYoFDbyCFv,D
skirt_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eVXakvccxUWJq3b,D
snail_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0Mw2Qs2galuIi45,D
spoon_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4IWymaVHN5QTxPv,D
stove_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5ywaxkgsZGDfEFv,D
swing_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1GNFbt9JDEO5mNT,D
tiger_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6gul6uwQ05Dhz7v,D
truck_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_czEJeXcq0JLI4zH,D
well_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aUXeAqQJApzTmXH,D
table_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_37tlJa09k7zwKFL,A FILLER
vest_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3WTpbAzIQmbnlpb,A FILLER
onion_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_06qheiaRSagACe9,A FILLER
violin_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dgs9uD3J7Xb905D,A FILLER
chisel_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6tYQkxYkiW6kG8d,B FILLER
raccoon_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4VhTQcA1DuNXUkR,B FILLER
stool_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dmc42fjpM6aGci9,B FILLER
brush_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_558zoCOrw3p8d49,B FILLER
barrel_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aYiY7fINiiO5C5v,C FILLER
turtle_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1UrS85jzDz3UyfH,C FILLER
frog_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6XLkVjhS5ajvo0d,C FILLER
tomato_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEiNp6ELApunJml,C FILLER
pitcher_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9NabKLsHsywd6fj,D FILLER
snowman_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e2MzBqF61jWx1Sl,D FILLER
snake_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6D5cS6vZjmtO4At,D FILLER
toaster_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7364pja5SF1B7A9,D FILLER
ashtray_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8eHT7Rdj3ykzpl3,A
