Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,date,expName,psychopyVersion,OS,frameRate,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,CompleteB2__Mouse.x,CompleteB2__Mouse.y,CompleteB2__Mouse.leftButton,CompleteB2__Mouse.midButton,CompleteB2__Mouse.rightButton,CompleteB2__Mouse.time,CompleteB2__Mouse.clicked_name,B3__DoYouUnderstand,B3VCCD__Mouse.x,B3VCCD__Mouse.y,B3VCCD__Mouse.leftButton,B3VCCD__Mouse.midButton,B3VCCD__Mouse.rightButton,B3VCCD__Mouse.time,B3VCCD__Mouse.clicked_name,B3VCCD__Mouse2.x,B3VCCD__Mouse2.y,B3VCCD__Mouse2.leftButton,B3VCCD__Mouse2.midButton,B3VCCD__Mouse2.rightButton,B3VCCD__Mouse2.time,B3VCCD__Mouse2.clicked_name,VisualComplexity,images6,B3VisCom__Mouse.x,B3VisCom__Mouse.y,B3VisCom__Mouse.leftButton,B3VisCom__Mouse.midButton,B3VisCom__Mouse.rightButton,B3VisCom__Mouse.time,B3VisCom__Mouse.clicked_name,ColourDiagnosticity,B3ColDia__Mouse.x,B3ColDia__Mouse.y,B3ColDia__Mouse.leftButton,B3ColDia__Mouse.midButton,B3ColDia__Mouse.rightButton,B3ColDia__Mouse.time,B3ColDia__Mouse.clicked_name
[0.6951748511904762],[0.441796875],[1],[0],[0],[1.0440001487731934],"[""Welcome__Next""]",[0.6951748511904762],[0.441796875],[1],[0],[0],[0.5989999771118164],"[""GenIns__Next""]",2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,"[0.016774553571428572,-0.004694940476190476]","[0.18143229166666666,0.19890252976190476]","[1,1]","[0,0]","[0,0]","[1.011000156402588,1.561000108718872]","[""CompleteB1__Next""]",[-0.004694940476190476],[0.20199776785714285],[1],[0],[0],[0.49699997901916504],"[""CompleteB2__Next""]",Yes,[-0.07178199404761905],[-0.4335193452380952],[1],[0],[0],[0.9449999332427979],"[""B3VCCD__Yes""]","[0.03954985119047619,0.6802715773809523]","[-0.4221465773809524,0.4189508928571429]","[1,1]","[0,0]","[0,0]","[1.3459999561309814,2.8450000286102295]","[""B3VCCD__Begin""]",VisCom_1,images/stimuli/photos/house3-photo-colour.png,[-0.12533482142857144],[-0.14122767857142857],[1],[0],[0],[1.434999942779541],"[""B3VisCom__1""]",ColDia_1,[-0.10803571428571429],[-0.3183035714285714],[1],[0],[0],[1.051999807357788],"[""B3ColDia__1""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/pumpkin3-photo-grey.png,[-0.001841517857142857],[-0.15798363095238097],[1],[0],[0],[0.8809998035430908],"[""B3VisCom__2""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/mouse3-photo-grey.png,[-0.001841517857142857],[-0.15798363095238097],[1],[0],[0],[0.3340001106262207],"[""B3VisCom__2""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/pepper3-photo-grey.png,[-0.001841517857142857],[-0.15798363095238097],[1],[0],[0],[0.3000001907348633],"[""B3VisCom__2""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_1,images/stimuli/photos/comb3-photo-grey.png,[-0.1072358630952381],[-0.175234375],[1],[0],[0],[0.3819999694824219],"[""B3VisCom__1""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_2,images/stimuli/photos/pipe3-photo-colour.png,[0.03441592261904762],[-0.15950892857142857],[1],[0],[0],[0.11599993705749512],"[""B3VisCom__2""]",ColDia_2,[0.03473958333333333],[-0.32375],[1],[0],[0],[0.6040000915527344],"[""B3ColDia__2""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/snail3-photo-grey.png,[0.17693080357142857],[-0.1546875],[1],[0],[0],[0.41700005531311035],"[""B3VisCom__3""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_3,images/stimuli/photos/peanut3-photo-colour.png,[0.17693080357142857],[-0.1546875],[1],[0],[0],[0.28299999237060547],"[""B3VisCom__3""]",ColDia_3,[0.18018229166666666],[-0.33387276785714287],[1],[0],[0],[0.500999927520752],"[""B3ColDia__3""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/orange3-photo-grey.png,[0.3087797619047619],[-0.16792782738095238],[1],[0],[0],[0.7669999599456787],"[""B3VisCom__4""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_4,images/stimuli/photos/chair3-photo-colour.png,[0.3087797619047619],[-0.16792782738095238],[1],[0],[0],[0.2820000648498535],"[""B3VisCom__4""]",ColDia_4,[0.32561011904761905],[-0.3496837797619048],[1],[0],[0],[0.3660001754760742],"[""B3ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/lemon3-photo-colour.png,[0.47805803571428573],[-0.13657366071428573],[1],[0],[0],[0.8010001182556152],"[""B3VisCom__5""]",ColDia_5,"[0.49169270833333334,0.487734375]","[-0.35582589285714283,-0.3528236607142857]","[1,1]","[0,0]","[0,0]","[0.628000020980835,1.0279998779296875]","[""B3ColDia__5""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/goat3-photo-colour.png,[0.49096354166666667],[-0.17003720238095238],[1],[0],[0],[0.315000057220459],"[""B3VisCom__5""]",ColDia_5,[0.47549107142857144],[-0.35157738095238095],[1],[0],[0],[0.2990000247955322],"[""B3ColDia__5""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/cake3-photo-colour.png,[0.4961049107142857],[-0.1568154761904762],[1],[0],[0],[0.3490002155303955],"[""B3VisCom__5""]",ColDia_5,[0.48104166666666665],[-0.33565104166666665],[1],[0],[0],[0.3080000877380371],"[""B3ColDia__5""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/ring3-photo-colour.png,[0.48608630952380955],[-0.16925595238095237],[1],[0],[0],[0.34800004959106445],"[""B3VisCom__5""]",ColDia_4,[0.3445796130952381],[-0.3466815476190476],[1],[0],[0],[0.2669999599456787],"[""B3ColDia__4""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/giraffe3-photo-colour.png,[0.49437127976190476],[-0.1574516369047619],[1],[0],[0],[0.2969999313354492],"[""B3VisCom__5""]",ColDia_2,[0.020673363095238095],[-0.32571800595238093],[1],[0],[0],[0.41499996185302734],"[""B3ColDia__2""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/bowl3-photo-grey.png,"[0.4862202380952381,0.48008556547619047]","[-0.18496651785714285,-0.13782738095238095]","[1,1]","[0,0]","[0,0]","[0.3659999370574951,0.6659998893737793]","[""B3VisCom__5""]",,,,,,,,
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VisCom_5,images/stimuli/photos/brush3-photo-colour.png,[0.48008556547619047],[-0.13782738095238095],[1],[0],[0],[0.4330000877380371],"[""B3VisCom__5""]",ColDia_5,[0.49353050595238096],[-0.33811011904761906],[1],[0],[0],[0.19899988174438477],"[""B3ColDia__5""]"
,,,,,,,,,,,,,,2019-09-27_15h43.07.191,Subjective Judgments for Photographic Stimuli --- 06,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
