Order,Welcome__Mouse.x,Welcome__Mouse.y,Welcome__Mouse.leftButton,Welcome__Mouse.midButton,Welcome__Mouse.rightButton,Welcome__Mouse.time,Welcome__Mouse.clicked_name,GenIns__Mouse.x,GenIns__Mouse.y,GenIns__Mouse.leftButton,GenIns__Mouse.midButton,GenIns__Mouse.rightButton,GenIns__Mouse.time,GenIns__Mouse.clicked_name,Welcome__Repeat__Loop.thisRepN,Welcome__Repeat__Loop.thisTrialN,Welcome__Repeat__Loop.thisN,Welcome__Repeat__Loop.thisIndex,Welcome__Repeat__Loop.ran,Welcome__Repeat__Loop.order,date,expName,psychopyVersion,OS,frameRate,B1__DoYouUnderstand,B1NamFam__Mouse.x,B1NamFam__Mouse.y,B1NamFam__Mouse.leftButton,B1NamFam__Mouse.midButton,B1NamFam__Mouse.rightButton,B1NamFam__Mouse.time,B1NamFam__Mouse.clicked_name,B1NamFam__Mouse2.x,B1NamFam__Mouse2.y,B1NamFam__Mouse2.leftButton,B1NamFam__Mouse2.midButton,B1NamFam__Mouse2.rightButton,B1NamFam__Mouse2.time,B1NamFam__Mouse2.clicked_name,Naming_RT,Naming_Response,NamResp__Mouse.x,NamResp__Mouse.y,NamResp__Mouse.leftButton,NamResp__Mouse.midButton,NamResp__Mouse.rightButton,NamResp__Mouse.time,NamResp__Mouse.clicked_name,Familiarity,FamResp__Mouse.x,FamResp__Mouse.y,FamResp__Mouse.leftButton,FamResp__Mouse.midButton,FamResp__Mouse.rightButton,FamResp__Mouse.time,FamResp__Mouse.clicked_name,Block1__Nam__Fam__Loop.thisRepN,Block1__Nam__Fam__Loop.thisTrialN,Block1__Nam__Fam__Loop.thisN,Block1__Nam__Fam__Loop.thisIndex,Block1__Nam__Fam__Loop.ran,Block1__Nam__Fam__Loop.order,B1NamFam.thisRepN,B1NamFam.thisTrialN,B1NamFam.thisN,B1NamFam.thisIndex,B1NamFam.ran,B1NamFam.order,images2,words,colourorgreyscale,vccdbackground,CompleteB1__Mouse.x,CompleteB1__Mouse.y,CompleteB1__Mouse.leftButton,CompleteB1__Mouse.midButton,CompleteB1__Mouse.rightButton,CompleteB1__Mouse.time,CompleteB1__Mouse.clicked_name,B2__DoYouUnderstand,B2VCCD__Mouse.x,B2VCCD__Mouse.y,B2VCCD__Mouse.leftButton,B2VCCD__Mouse.midButton,B2VCCD__Mouse.rightButton,B2VCCD__Mouse.time,B2VCCD__Mouse.clicked_name,B2VCCD__Mouse2.x,B2VCCD__Mouse2.y,B2VCCD__Mouse2.leftButton,B2VCCD__Mouse2.midButton,B2VCCD__Mouse2.rightButton,B2VCCD__Mouse2.time,B2VCCD__Mouse2.clicked_name,VisualComplexity,VisCom__Mouse.x,VisCom__Mouse.y,VisCom__Mouse.leftButton,VisCom__Mouse.midButton,VisCom__Mouse.rightButton,VisCom__Mouse.time,VisCom__Mouse.clicked_name,ColourDiagnosticity,ColDia__Mouse.x,ColDia__Mouse.y,ColDia__Mouse.leftButton,ColDia__Mouse.midButton,ColDia__Mouse.rightButton,ColDia__Mouse.time,ColDia__Mouse.clicked_name,Block2__VisCom__ColDia__Loop.thisRepN,Block2__VisCom__ColDia__Loop.thisTrialN,Block2__VisCom__ColDia__Loop.thisN,Block2__VisCom__ColDia__Loop.thisIndex,Block2__VisCom__ColDia__Loop.ran,Block2__VisCom__ColDia__Loop.order,B2VCCD.thisRepN,B2VCCD.thisTrialN,B2VCCD.thisN,B2VCCD.thisIndex,B2VCCD.ran,B2VCCD.order,B2__ColDiaLoop.thisRepN,B2__ColDiaLoop.thisTrialN,B2__ColDiaLoop.thisN,B2__ColDiaLoop.thisIndex,B2__ColDiaLoop.ran,B2__ColDiaLoop.order,CompleteB2__Mouse.x,CompleteB2__Mouse.y,CompleteB2__Mouse.leftButton,CompleteB2__Mouse.midButton,CompleteB2__Mouse.rightButton,CompleteB2__Mouse.time,CompleteB2__Mouse.clicked_name,B3__DoYouUnderstand,B3MenIma__Mouse.x,B3MenIma__Mouse.y,B3MenIma__Mouse.leftButton,B3MenIma__Mouse.midButton,B3MenIma__Mouse.rightButton,B3MenIma__Mouse.time,B3MenIma__Mouse.clicked_name,B3MenIma__Mouse2.x,B3MenIma__Mouse2.y,B3MenIma__Mouse2.leftButton,B3MenIma__Mouse2.midButton,B3MenIma__Mouse2.rightButton,B3MenIma__Mouse2.time,B3MenIma__Mouse2.clicked_name,MentalImageryAgreement,MenIma__Mouse.x,MenIma__Mouse.y,MenIma__Mouse.leftButton,MenIma__Mouse.midButton,MenIma__Mouse.rightButton,MenIma__Mouse.time,MenIma__Mouse.clicked_name,Block3__Mental__Imagery__Loop.thisRepN,Block3__Mental__Imagery__Loop.thisTrialN,Block3__Mental__Imagery__Loop.thisN,Block3__Mental__Imagery__Loop.thisIndex,Block3__Mental__Imagery__Loop.ran,Block3__Mental__Imagery__Loop.order,Block3__MenIma__RespLoop.thisRepN,Block3__MenIma__RespLoop.thisTrialN,Block3__MenIma__RespLoop.thisN,Block3__MenIma__RespLoop.thisIndex,Block3__MenIma__RespLoop.ran,Block3__MenIma__RespLoop.order,DidYouHearBeep,Debrief_Comments,Debrief__Mouse.x,Debrief__Mouse.y,Debrief__Mouse.leftButton,Debrief__Mouse.midButton,Debrief__Mouse.rightButton,Debrief__Mouse.time,Debrief__Mouse.clicked_name,Debrief__Mouse2.x,Debrief__Mouse2.y,Debrief__Mouse2.leftButton,Debrief__Mouse2.midButton,Debrief__Mouse2.rightButton,Debrief__Mouse2.time,Debrief__Mouse2.clicked_name
A,[0.7224627976190476],[0.41954613095238097],[1],[0],[0],[2.1089999675750732],"[""Welcome__Next""]",[0.7224627976190476],[0.41954613095238097],[1],[0],[0],[2.183000087738037],"[""GenIns__Next""]",20,0,20,0,1,19,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,Yes,[-0.08121279761904762],[-0.4258556547619048],[1],[0],[0],[3.7829999923706055],"[""B1NamFam__Yes""]",[0.7087351190476191],[0.43409598214285716],[1],[0],[0],[4.5970001220703125],"[""B1NamFam__Begin""]",1.871999979,ghdf,[0.6740327380952381],[-0.2516703869047619],[1],[0],[0],[2.754999876022339],"[""NamResp__Next""]",Fam_1,[-0.11329241071428571],[-0.33113095238095236],[1],[0],[0],[0.28299999237060547],"[""Fam__1""]",1,0,1,0,1,0,1,0,44,17,1,43,images/stimuli/photos/iron1-photo-colour.png,images/stimuli/words/iron.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.516000032,ergsd,[0.6597544642857143],[-0.2587276785714286],[1],[0],[0],[0.749000072479248],"[""NamResp__Next""]",Fam_2,[0.0517485119047619],[-0.3506845238095238],[1],[0],[0],[0.26600003242492676],"[""Fam__2""]",1,0,1,0,1,0,1,0,44,32,1,43,images/stimuli/photos/potato1-photo-colour.png,images/stimuli/words/potato.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.398000002,grfwdw,[0.6467150297619048],[-0.26511160714285714],[1],[0],[0],[0.5820000171661377],"[""NamResp__Next""]",Fam_3,[0.1935342261904762],[-0.31253348214285714],[1],[0],[0],[0.24900007247924805],"[""Fam__3""]",1,0,1,0,1,0,1,0,44,22,1,43,images/stimuli/photos/leaf1-photo-grey.png,images/stimuli/words/leaf.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.333000183,rgds,[0.6687537202380952],[-0.25892113095238095],[1],[0],[0],[0.7330000400543213],"[""NamResp__Next""]",Fam_4,[0.3343526785714286],[-0.33900669642857145],[1],[0],[0],[0.06800007820129395],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,16,1,43,images/stimuli/photos/hand1-photo-colour.png,images/stimuli/words/hand.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.414999962,tewd,[0.677451636904762],[-0.2701376488095238],[1],[0],[0],[0.5820000171661377],"[""NamResp__Next""]",Fam_5,[0.4712983630952381],[-0.33291294642857144],[1],[0],[0],[0.0989999771118164],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,37,1,43,images/stimuli/photos/shoe1-photo-colour.png,images/stimuli/words/shoe.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.434000015,tdge,[0.6825483630952381],[-0.2538876488095238],[1],[0],[0],[0.6319999694824219],"[""NamResp__Next""]",Fam_1,[-0.10455357142857143],[-0.3519419642857143],[1],[0],[0],[0.2519998550415039],"[""Fam__1""]",1,0,1,0,1,0,1,0,44,14,1,43,images/stimuli/photos/drum1-photo-grey.png,images/stimuli/words/drum.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.400000095,rtgf,[0.6678980654761905],[-0.25009300595238093],[1],[0],[0],[0.9320001602172852],"[""NamResp__Next""]",Fam_2,"[0.08758928571428572,0.042555803571428574]","[-0.32320684523809523,-0.3288169642857143]","[1,1]","[0,0]","[0,0]","[1.1979999542236328,1.7159998416900635]","[""Fam__2""]",1,0,1,0,1,0,1,0,44,7,1,43,images/stimuli/photos/button1-photo-grey.png,images/stimuli/words/button.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.48300004,rhgdsed,[0.6450706845238096],[-0.2597842261904762],[1],[0],[0],[0.75],"[""NamResp__Next""]",Fam_4,[0.3224702380952381],[-0.3281138392857143],[1],[0],[0],[0.2330000400543213],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,28,1,43,images/stimuli/photos/ostrich1-photo-colour.png,images/stimuli/words/ostrich.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.516000032,rthgdfs,[0.7050186011904762],[-0.273578869047619],[1],[0],[0],[0.8489999771118164],"[""NamResp__Next""]",Fam_5,[0.46151041666666665],[-0.3300855654761905],[1],[0],[0],[0.24900007247924805],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,34,1,43,images/stimuli/photos/screw1-photo-grey.png,images/stimuli/words/screw.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.365999937,hregs,[0.6529538690476191],[-0.26232886904761904],[1],[0],[0],[0.7139999866485596],"[""NamResp__Next""]",Fam_3,[0.18970982142857143],[-0.3385639880952381],[1],[0],[0],[0.2980000972747803],"[""Fam__3""]",1,0,1,0,1,0,1,0,44,30,1,43,images/stimuli/photos/peacock1-photo-colour.png,images/stimuli/words/peacock.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.400000095,thgsf,[0.6666703869047619],[-0.25884300595238097],[1],[0],[0],[0.6840000152587891],"[""NamResp__Next""]",Fam_1,[-0.11812872023809524],[-0.3245386904761905],[1],[0],[0],[0.2330000400543213],"[""Fam__1""]",1,0,1,0,1,0,1,0,44,13,1,43,images/stimuli/photos/doll1-photo-grey.png,images/stimuli/words/doll.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.400000095,hgdsf,[0.6677641369047619],[-0.2601450892857143],[1],[0],[0],[0.7170000076293945],"[""NamResp__Next""]",Fam_2,[0.057764136904761905],[-0.33679315476190474],[1],[0],[0],[0.13299989700317383],"[""Fam__2""]",1,0,1,0,1,0,1,0,44,0,1,43,images/stimuli/photos/anchor1-photo-grey.png,images/stimuli/words/anchor.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.464999914,ter,[0.6740699404761905],[-0.2778050595238095],[1],[0],[0],[0.7319998741149902],"[""NamResp__Next""]",Fam_3,[0.14398809523809525],[-0.3339546130952381],[1],[0],[0],[0.25100016593933105],"[""Fam__3""]",1,0,1,0,1,0,1,0,44,41,1,43,images/stimuli/photos/spider1-photo-colour.png,images/stimuli/words/spider.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.434000015,htres,[0.6653608630952381],[-0.25100446428571427],[1],[0],[0],[0.6679999828338623],"[""NamResp__Next""]",Fam_3,[0.18416294642857142],[-0.33975446428571426],[1],[0],[0],[0.24900007247924805],"[""Fam__3""]",1,0,1,0,1,0,1,0,44,36,1,43,images/stimuli/photos/sheep1-photo-grey.png,images/stimuli/words/sheep.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.513000011,htgf,[0.6854613095238096],[-0.2678311011904762],[1],[0],[0],[0.7130000591278076],"[""NamResp__Next""]",Fam_4,[0.30234002976190477],[-0.3528608630952381],[1],[0],[0],[0.18400001525878906],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,25,1,43,images/stimuli/photos/lock1-photo-colour.png,images/stimuli/words/lock.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.382999897,rge,[0.6698660714285715],[-0.2733035714285714],[1],[0],[0],[0.6500000953674316],"[""NamResp__Next""]",Fam_5,[0.48265625],[-0.3256324404761905],[1],[0],[0],[0.1830000877380371],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,38,1,43,images/stimuli/photos/snake1-photo-grey.png,images/stimuli/words/snake.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.351999998,trges,"[0.638686755952381,0.6593080357142858]","[-0.27271577380952383,-0.27271577380952383]","[1,1]","[0,0]","[0,0]","[0.5829999446868896,0.8340001106262207]","[""NamResp__Next""]",Fam_1,[-0.09496279761904762],[-0.3481361607142857],[1],[0],[0],[0.2669999599456787],"[""Fam__1""]",1,0,1,0,1,0,1,0,44,27,1,43,images/stimuli/photos/needle1-photo-colour.png,images/stimuli/words/needle.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.381000042,rhtdge,[0.6977864583333333],[-0.24730282738095238],[1],[0],[0],[0.7150001525878906],"[""NamResp__Next""]",Fam_2,"[0.014211309523809524,0.018567708333333332]","[-0.3071391369047619,-0.32371279761904764]","[1,1]","[0,0]","[0,0]","[0.2999999523162842,0.4830000400543213]","[""Fam__2""]",1,0,1,0,1,0,1,0,44,10,1,43,images/stimuli/photos/clock1-photo-grey.png,images/stimuli/words/clock.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.465999842,rtegt,"[0.6710825892857143,0.6725855654761905]","[-0.24303943452380952,-0.2544903273809524]","[1,1]","[0,0]","[0,0]","[0.75,0.9819998741149902]","[""NamResp__Next""]",Fam_3,[0.1885565476190476],[-0.3388095238095238],[1],[0],[0],[0.19900012016296387],"[""Fam__3""]",1,0,1,0,1,0,1,0,44,26,1,43,images/stimuli/photos/nail1-photo-colour.png,images/stimuli/words/nail.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.432999849,hrdg,[0.6650595238095238],[-0.25722098214285716],[1],[0],[0],[0.7179999351501465],"[""NamResp__Next""]",Fam_4,[0.3756994047619048],[-0.32063988095238094],[1],[0],[0],[0.1830000877380371],"[""Fam__4""]",1,0,1,0,1,0,1,0,44,15,1,43,images/stimuli/photos/frog1-photo-grey.png,images/stimuli/words/frog.png,grey,images/backgrounds/vconly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2019-11-22_09h27.37.994,Subjective Judgments for Photographic Stimuli --- 02,3.2.3,MacIntel,60,,,,,,,,,,,,,,,,0.465999842,htegse,[0.6584709821428572],[-0.2738802083333333],[1],[0],[0],[0.6149997711181641],"[""NamResp__Next""]",Fam_5,[0.4898251488095238],[-0.3455171130952381],[1],[0],[0],[0.23099994659423828],"[""Fam__5""]",1,0,1,0,1,0,1,0,44,9,1,43,images/stimuli/photos/chicken1-photo-colour.png,images/stimuli/words/chicken.png,colour,images/backgrounds/vccd1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
