Response,Correction,Response,Correction,Response,Correction
;ashtray,ashtray,draw,drawers,olobster,lobster
a,no,drawer,drawers,onions,onion
acoop,scoop,draws,drawers,onions,onion
ancher,anchor,drums,drum,osterich,ostrich
anchore,anchor,eagal,eagle,ostrage,ostrich
ancor,anchor,eclipes,eclipse,ostridge,ostrich
anker,anchor,eclipses,eclipse,ostrige,ostrich
aparagus,asparagus,eclipsse,eclipse,ostrisge,ostrich
apricorte,apricot,eeagle,eagle,ostritch,ostrich
ashtry,ashtray,eele,seal,pair,pear
ballon,balloon,eyeglass,eyeglasses,paper,pepper
ballone,balloon,falg,flag,peacck,peacock
balloone,balloon,feet,foot,pecock,peacock
ballun,balloon,fencing,fence,peguin,penguin
baloon,balloon,footstall,footstool,peneut,peanut
bamnna,banana,fott,foot,pengiuin,penguin
bananaa,banana,frock,frog,pengiun,penguin
bananna,banana,frog/,frog,penguine,penguin
bannan,banana,geese,goose,penquin,penguin
bannana,banana,giaffee,giraffe,peper,pepper
barel,barrel,giaraffe,giraffe,pestleandmorter,pestleandmortar
barrell,barrel,girafe,giraffe,piccalo,piccolo
barrle,barrel,giraff,giraffe,pilers,pliers
barrow,barrel,giraffee,giraffe,pliars,pliers
beatle,beetle,girafffe,giraffe,plier,pliers
beer,bear,girrafe,giraffe,pliyers,pliers
bellpepp34,bellpepper,girraffe,giraffe,plugin,plug
bettle,beetle,gitaur,guitar,plyers,pliers
bicucle,bicycle,gitter,guitar,potatoe,potato
bicyle,bicycle,glases,glasses,pottato,potato
bittle,bottle,glass,glasses,pumkin,pumpkin
bittle,beetle,glassesbottle,bottle,pumpkim,pumpkin
blueberrys,blueberries,gloves,glove,punpkin,pumpkin
bolw,bowl,grape,grapes,rabit,rabbit
bootle,bottle,gutair,guitar,racoon,raccoon
broon,broom,haircomb,comb,rubarb,rhubarb
broon,broom,hamp,harp,rule,ruler
brum,broom,hand5,hand,seel,seal
busket,basket,harper,hamper,showel,shovel
bycycle,bicycle,hemmar,hammer,snakw,snake
camal,camel,hose,house,soak,socks
canddle,candle,idk,no,specs,spectacles
canle,candle,kacket,jacket,spon,spoon
canon,cannon,kangroo,kangaroo,ssnowman,snowman
carott,carrot,ladders,ladder,steplader,stepladder
carrots,carrot,lader,ladder,sterss,step
carrott,carrot,latter,ladder,sweetcirn,sweetcorn
celary,celery,leafe,leaf,tabaccopipe,tobaccopipe
celeary,celery,leamon,lemon,teakettle,kettle
cellary,celery,leema,lemur,thinbell,thimble
cerlery,celery,lettace,lettuce,thmble,thimble
chain2,chain,lip,lips,thunb,thumb
chestofdrawerserss,chest of drawers,longdress,dress,timbil,thimble
chestofdraws,chest of drawers,maledear,maledeer,timble,thimble
chisle,chisel,meercat,meerkat,toitouse,tortoise
chissel,chisel,mercat,meerkat,tomatoe,tomato
chizel,chisel,mice,mouse,tomoato,tomato
claranet,clarinet,mit,mitten,tortise,tortoise
clouds,cloud,mittens,mitten,tortiste,tortoise
cochroach,cockroach,monkeybut,monkeynut,tortus,tortoise
cock,cockerel,mortle,mortar,usplug,plug
cockaroach,cockroach,mousse,moose,valture,vulture
cockrel,cockerel,muscat,muskrat,vicescripts,vicegrips
combe,comb,nectarin,nectarine,vioin,violin
cycle,bicycle,nectarinee,nectarine,violen,violin
dear,deer,nectrine,nectarine,volion,violin
deere,deer,neddle,needle,waistcoast,waistcoat
dock,duck,noise,nose,wale,well
dolly,doll,none,no,wastecoat,waistcoat
doormouse,dormouse,oencil,pencil,whisell,whistle
,,,,whistel,whistle
,,,,whitle,whistle
,,,,whsitle,whistle
,,,,windown,window